id,satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,work_accident,left,promotion_last_5years,department,salary,,
c1,0.38,0.53,2,157,3,0,1,0,sales,low,,
c2,0.8,0.86,5,262,6,0,1,0,sales,medium,,
c3,0.11,0.88,7,272,4,0,1,0,sales,medium,,
c4,0.72,0.87,5,223,5,0,1,0,sales,low,,
c5,0.37,0.52,2,159,3,0,1,0,sales,low,,
c6,0.41,0.5,2,153,3,0,1,0,sales,low,,
c7,0.1,0.77,6,247,4,0,1,0,sales,low,,
c8,0.92,0.85,5,259,5,0,1,0,sales,low,,
c9,0.89,1,5,224,5,0,1,0,sales,low,,
c10,0.42,0.53,2,142,3,0,1,0,sales,low,,
c11,0.45,0.54,2,135,3,0,1,0,sales,low,,
c12,0.11,0.81,6,305,4,0,1,0,sales,low,,
c13,0.84,0.92,4,234,5,0,1,0,sales,low,,
c14,0.41,0.55,2,148,3,0,1,0,sales,low,,
c15,0.36,0.56,2,137,3,0,1,0,sales,low,,
c16,0.38,0.54,2,143,3,0,1,0,sales,low,,
c17,0.45,0.47,2,160,3,0,1,0,sales,low,,
c18,0.78,0.99,4,255,6,0,1,0,sales,low,,
c19,0.45,0.51,2,160,3,1,1,1,sales,low,,
c20,0.76,0.89,5,262,5,0,1,0,sales,low,,
c21,0.11,0.83,6,282,4,0,1,0,sales,low,,
c22,0.38,0.55,2,147,3,0,1,0,sales,low,,
c23,0.09,0.95,6,304,4,0,1,0,sales,low,,
c24,0.46,0.57,2,139,3,0,1,0,sales,low,,
c25,0.4,0.53,2,158,3,0,1,0,sales,low,,
c26,0.89,0.92,5,242,5,0,1,0,sales,low,,
c27,0.82,0.87,4,239,5,0,1,0,sales,low,,
c28,0.4,0.49,2,135,3,0,1,0,sales,low,,
c29,0.41,0.46,2,128,3,0,1,0,accounting,low,,
c30,0.38,0.5,2,132,3,0,1,0,accounting,low,,
c31,0.09,0.62,6,294,4,0,1,0,accounting,low,,
c32,0.45,0.57,2,134,3,0,1,0,hr,low,,
c33,0.4,0.51,2,145,3,0,1,0,hr,low,,
c34,0.45,0.55,2,140,3,0,1,0,hr,low,,
c35,0.84,0.87,4,246,6,0,1,0,hr,low,,
c36,0.1,0.94,6,255,4,0,1,0,technical,low,,
c37,0.38,0.46,2,137,3,0,1,0,technical,low,,
c38,0.45,0.5,2,126,3,0,1,0,technical,low,,
c39,0.11,0.89,6,306,4,0,1,0,technical,low,,
c40,0.41,0.54,2,152,3,0,1,0,technical,low,,
c41,0.87,0.88,5,269,5,0,1,0,technical,low,,
c42,0.45,0.48,2,158,3,0,1,0,technical,low,,
c43,0.4,0.46,2,127,3,0,1,0,technical,low,,
c44,0.1,0.8,7,281,4,0,1,0,technical,low,,
c45,0.09,0.89,6,276,4,0,1,0,technical,low,,
c46,0.84,0.74,3,182,4,0,1,0,technical,low,,
c47,0.4,0.55,2,147,3,0,1,0,support,low,,
c48,0.57,0.7,3,273,6,0,1,0,support,low,,
c49,0.4,0.54,2,148,3,0,1,0,support,low,,
c50,0.43,0.47,2,147,3,0,1,0,support,low,,
c51,0.13,0.78,6,152,2,0,1,0,support,low,,
c52,0.44,0.55,2,135,3,0,1,0,support,low,,
c53,0.38,0.55,2,134,3,0,1,0,support,low,,
c54,0.39,0.54,2,132,3,0,1,0,support,low,,
c55,0.1,0.92,7,307,4,0,1,0,support,low,,
c56,0.37,0.46,2,140,3,0,1,0,support,low,,
c57,0.11,0.94,7,255,4,0,1,0,support,low,,
c58,0.1,0.81,6,309,4,0,1,0,technical,low,,
c59,0.38,0.54,2,128,3,0,1,0,technical,low,,
c60,0.85,1,4,225,5,0,1,0,technical,low,,
c61,0.85,0.91,5,226,5,0,1,0,management,medium,,
c62,0.11,0.93,7,308,4,0,1,0,IT,medium,,
c63,0.1,0.95,6,244,5,0,1,0,IT,medium,,
c64,0.36,0.56,2,132,3,0,1,0,IT,medium,,
c65,0.11,0.94,6,286,4,0,1,0,IT,medium,,
c66,0.81,0.7,6,161,4,0,1,0,IT,medium,,
c67,0.43,0.54,2,153,3,0,1,0,product_management,medium,,
c68,0.9,0.98,4,264,6,0,1,0,product_management,medium,,
c69,0.76,0.86,5,223,5,1,1,0,product_management,medium,,
c70,0.43,0.5,2,135,3,0,1,0,product_management,medium,,
c71,0.74,0.99,2,277,3,0,1,0,IT,medium,,
c72,0.09,0.77,5,275,4,0,1,0,product_management,medium,,
c73,0.45,0.49,2,149,3,0,1,0,product_management,high,,s
c74,0.09,0.87,7,295,4,0,1,0,product_management,low,,
c75,0.11,0.97,6,277,4,0,1,0,product_management,medium,,
c76,0.11,0.79,7,306,4,0,1,0,product_management,medium,,
c77,0.1,0.83,6,295,4,0,1,0,product_management,medium,,
c78,0.4,0.54,2,137,3,0,1,0,marketing,medium,,
c79,0.43,0.56,2,157,3,0,1,0,sales,low,,
c80,0.39,0.56,2,142,3,0,1,0,accounting,low,,
c81,0.45,0.54,2,140,3,0,1,0,support,low,,
c82,0.38,0.49,2,151,3,0,1,0,technical,low,,
c83,0.79,0.59,4,139,3,0,1,1,management,low,,
c84,0.84,0.85,4,249,6,0,1,0,marketing,low,,
c85,0.11,0.77,6,291,4,0,1,0,marketing,low,,
c86,0.11,0.87,6,305,4,0,1,0,marketing,low,,
c87,0.17,0.84,5,232,3,0,1,0,sales,low,,
c88,0.44,0.45,2,132,3,0,1,0,sales,low,,
c89,0.37,0.57,2,130,3,0,1,0,sales,low,,
c90,0.1,0.79,6,291,4,0,1,0,sales,low,,
c91,0.4,0.5,2,130,3,0,1,0,sales,low,,
c92,0.89,1,5,246,5,0,1,0,sales,low,,
c93,0.42,0.48,2,143,3,0,1,0,sales,low,,
c94,0.46,0.55,2,129,3,0,1,0,sales,low,,
c95,0.09,0.83,6,255,4,0,1,0,sales,low,,
c96,0.37,0.51,2,155,3,0,1,0,sales,low,,
c97,0.1,0.77,6,265,4,0,1,0,sales,low,,
c98,0.1,0.84,6,279,4,0,1,0,sales,low,,
c99,0.11,0.97,6,284,4,0,1,0,sales,low,,
c100,0.9,1,5,221,6,0,1,0,sales,medium,,
c101,0.38,0.52,2,154,3,0,1,0,sales,medium,,
c102,0.36,0.52,2,147,3,0,1,0,sales,medium,,
c103,0.42,0.46,2,150,3,0,1,0,sales,medium,,
c104,0.09,0.94,7,267,4,0,1,0,sales,medium,,
c105,0.43,0.52,2,158,3,0,1,0,sales,medium,,
c106,0.24,0.46,7,224,5,0,1,0,accounting,medium,,
c107,0.91,1,4,257,5,0,1,0,accounting,medium,,
c108,0.44,0.5,2,148,3,0,1,0,accounting,medium,,
c109,0.71,0.87,3,177,4,0,1,0,hr,medium,,
c110,0.4,0.49,2,155,3,0,1,0,hr,medium,,
c111,0.43,0.47,2,144,3,0,1,0,hr,medium,,
c112,0.09,0.85,6,289,4,0,1,0,hr,high,,
c113,0.43,0.52,2,160,3,0,1,0,technical,low,,
c114,0.9,0.96,4,258,5,0,1,0,technical,medium,,
c115,0.84,1,5,234,5,0,1,0,technical,medium,,
c116,0.37,0.48,2,137,3,0,1,0,technical,medium,,
c117,0.86,0.68,5,263,2,0,1,0,technical,medium,,
c118,0.11,0.84,6,251,4,0,1,0,technical,low,,
c119,0.37,0.57,2,133,3,0,1,0,technical,low,,
c120,0.4,0.46,2,132,3,0,1,0,technical,low,,
c121,0.14,0.62,4,158,4,1,1,0,technical,low,,
c122,0.4,0.46,2,135,3,0,1,0,technical,low,,
c123,0.75,1,4,216,6,0,1,0,technical,low,,
c124,0.11,0.84,6,300,5,1,1,0,support,low,,
c125,0.46,0.49,2,138,3,0,1,0,support,low,,
c126,0.11,0.92,6,260,4,0,1,0,support,low,,
c127,0.38,0.49,2,132,3,0,1,0,support,low,,
c128,0.7,0.89,3,183,5,0,1,0,support,low,,
c129,0.09,0.82,6,250,4,0,1,0,support,low,,
c130,0.37,0.45,2,151,3,0,1,0,support,low,,
c131,0.1,0.83,6,292,4,0,1,0,support,low,,
c132,0.38,0.57,2,140,3,0,1,0,support,low,,
c133,0.9,1,5,221,5,0,1,0,support,low,,
c134,0.44,0.51,2,138,3,0,1,0,support,low,,
c135,0.36,0.5,2,132,3,0,1,0,technical,low,,
c136,0.31,0.84,7,133,5,0,1,0,technical,low,,
c137,0.1,0.84,6,283,4,1,1,0,technical,low,,
c138,0.42,0.48,2,129,3,0,1,0,management,low,,
c139,0.74,1,4,249,5,0,1,0,IT,low,,
c140,0.73,0.87,5,257,5,0,1,0,IT,low,,
c141,0.09,0.96,6,245,4,0,1,0,IT,low,,
c142,0.45,0.53,2,155,3,0,1,0,IT,low,,
c143,0.11,0.8,6,256,4,0,1,0,IT,low,,
c144,0.37,0.47,2,152,3,0,1,0,product_management,low,,
c145,0.84,0.99,4,267,5,0,1,0,product_management,low,,
c146,0.41,0.46,2,151,3,0,1,0,product_management,low,,
c147,0.76,0.92,4,239,5,0,1,0,product_management,low,,
c148,0.11,0.87,6,306,4,0,1,0,IT,low,,
c149,0.84,0.88,4,263,5,1,1,0,marketing,low,,
c150,0.39,0.5,2,147,3,0,1,0,marketing,low,,
c151,0.11,0.91,6,278,4,0,1,0,marketing,low,,
c152,0.45,0.56,2,154,3,0,1,0,marketing,low,,
c153,0.37,0.52,2,143,3,0,1,0,marketing,low,,
c154,0.4,0.52,2,155,3,0,1,0,marketing,low,,
c155,0.39,0.48,2,160,3,0,1,0,sales,low,,
c156,0.11,0.8,6,304,4,0,1,0,accounting,low,,
c157,0.83,1,5,240,5,0,1,0,support,low,,
c158,0.11,0.92,6,305,4,0,1,0,technical,low,,
c159,0.39,0.5,2,136,3,0,1,0,management,low,,
c160,0.45,0.45,2,132,3,0,1,0,marketing,low,,
